topic,ask_code,en,ko,ru,zh,mn,note
vm3,vm614,undertake,맡겨두다/맡기다,отдавать на хранение,存放/寄放,хадгалуулах,
vm3,vm613,gain,남기다(이익을+),получать прибыль,赢得(赢得了利润的+),ашиг гарах,
vm3,vm612,pay,지불하다/내다,платить,支付/交钱,төлөх,
vm3,vm611,preserve,비축하다,запасать,储藏,нөөцлөх,
vm3,vm610,possess,소유하다,"обладать, владеть",所有(归我所有的+),эзэмших,
vm1,vm609,have,가지다,иметь,拿(拿东西的+),авах,
vm3,vm608,punish,처벌하다,наказывать,罚(处罚的+),шийтгэх,
vm3,vm607,reward,갚다/보답하다,воздавать,报答,хариулах,
vm3,vm606,urge,다그치다/재촉하다,"торопить, подгонять",催(催促的+),шахах,
vm3,vm605,adopt,양자로 삼다,усыновлять,认作养子,хүүхэд өргөж авах,
vm3,vm604,"bring sb. up, rear(v)",양육하다,воспитывать,养育,өсгөх,
vm3,vm603,protest,항의하다,протестовать,抗议,эсэргүүцэх,
vm3,vm602,appeal,호소하다,призывать,号召,хандаж хэлэх,
vm3,vm601,swear,다짐하다/맹세하다,клясться,起誓/发誓,амлах,
vm3,vm600,introduce,소개하다,знакомить,介绍,танилцуулах,
vm3,vm599,"entertain, treat",대접하다,угощать,接待,дайлах,
vm3,vm598,tempt,꾀다,завлекать,引诱,залилах,
vm3,vm597,visit,방문하다,посещать,访问,айлчлах,
vm3,vm596,invite,초청하다,приглашать,邀请,урих,
vm3,vm595,kiss,입맞추다,целовать,接吻,үнсэх,
vm3,vm594,pick,집다(손가락으로+),брать пальцами,捏(用两个手指捏住的+),барих,
vm3,vm593,serve,복무하다,служить,服务,үйлчлэх,
vm3,vm592,"neglect, be idle",게을리하다,лениться,懒怠,залхуурах,
vm3,vm591,earn,벌다,зарабатывать,'挣/赚(赚钱的+）,олох,
vm3,vm590,put on a play,공연하다,исполнять (напр. песни и танцы),表演/公演,тоглох,
vm3,vm589,to place a curse (on something),저주하다,проклинать,诅咒,хараах,
vm3,vm588,express,나타내다/표현하다,выражать,表示,илэрхийлэх ,
vm3,vm587,keep quiet,침묵하다,молчать,沉默,дуугүй байх,
vm1,vm586,point out,가리키다,указывать,指(指点的+),заах,
vm3,vm585,aim,노리다(목표를+),целить,瞄准,отох,
vm3,vm584,gaze,주시하다,следить (глазами),注视,ажиглах,
vm3,vm583,watch,감시하다,"наблюдать, надзирать",监视,харгалзах,
vm3,vm582,try,시도하다,"пытаться, пробовать",尝试/试图,оролдох,
vm3,vm581,distinguish,구별하다,различать,分别(分别对待的+),ялгах,
vm3,vm580,tame,길들이다,приучать,驯养,сургах,
vm3,vm579,be accustomed to,익숙해지다,привыкать,习惯(他习惯早睡的+),дасах,
vm3,vm578,be ashamed,부끄러워하다,стесняться,害羞,ичих,
vm3,vm577,"affect, put on airs",뽐내다,чваниться,卖弄(卖弄钱财的+),бардамнах,
vm3,vm576,be proud of/brag,자랑하다,хвалиться,自夸/骄傲,бахдах,
vm3,vm575,think proudly/braggingly??,자랑스럽게 여기다,гордиться,引以为荣/以...自豪,бахархах,
vm3,vm574,hesitate,망설이다,колебаться,踌躇/犹豫,эргэлзэх,
vm3,vm573,take pains,수고하다,брать на себя заботы,辛苦,зүтгэх,
vm3,vm572,encourage,격려하다,поощрять,鼓励,урамшуулах,
vm3,vm571,study,공부하다,заниматься (напр. в библиотеке),学习,сурах,
vm3,vm570,make efforts,노력하다,стараться,努力,чармайх,
vm3,vm569,thank,고마워하다/감사하다,благодарить,感谢,баярлах,
vm3,vm568,admire,감탄하다,восхищаться,感叹,шагшрах,
vm3,vm567,agree,동정하다,сочувствовать,同情,өрөвдөх,
vm3,vm566,pity,불쌍히 여기다,жалеть (напр. сирот),'怜悯/可怜,хɵɵрхийлɵх,
vm3,vm565,regret,아까워하다,жалеть (напр. денег),可惜,харамсах,
vm3,vm564,enjoy,즐기다,наслаждаться,爱好,дурлах,
vm1,vm563,wound,다치다(발을+),ранить (напр. ногу),伤(受伤的+),гэмтэх,
vm1,vm562,feel,느끼다,чувствовать,感觉到,мэдрэх,
vm3,vm561,be in time,시간에 대다,успеть,赶得上,амжих,
vm3,vm560,late,늦다/지각하다,опаздывать,晚(来晚了的+),хожимдох,
vm3,vm559,"lag, delay",지체하다,задерживаться,拖延,алгуурах,
vm3,vm558,grow dark,저물다,смеркаться,黑了(天黑了的+),харуй бүрий болох,
vm3,vm557,"dawn, break",동트다,рассветать,破晓(天刚亮的时候),үүр цайх,
vm3,vm556,spread over,퍼지다,распространяться,扩展,тарах,
vm3,vm555,reduce,줄이다,сокращать,缩短,багасах,
vm3,vm554,shrink,오그라들다,сжиматься,缩小,агших,
vm3,vm553,strech,잡아늘이다,вытягивать,拉长,уртасгах,
vm3,vm552,postpone,연기하다,откладывать,延期,хойшлуулах,
vm3,vm551,extend,연장하다,продлевать,延长,сунгах,
vm3,vm550,"accumulate, save up",저축하다,копить (деньги в банке),攒(攒钱的+)/存,хадгалуулах,
vm3,vm549,become vacant,"비다(자동사)(비었다, 빌 것이다)",Село опустело.,空(空出时间的+),хоосрох,
vm3,vm548,empty(v),비우다,освобождать (напр. книжный шкаф),空出,хоослох,
vm3,vm547,be filled ,채워지다/차다,наполняться,满/充满,дүүрэх,
vm3,vm546,fill ,채우다(滿),наполнять,装满,дүүргэх,
vm3,vm545,add,더하다,добавлять,加上,нэмэх,
vm3,vm544,"join, participate",가입하다/참가하다,участвовать,加入/参加,оролцох,
vm3,vm543,squeeze,짜다(기름을+),выжимать (масло),榨(榨油的+),тос шахах,
vm3,vm542,"clash, collide",부딪히다,сталкиваться,冲突,мөргөлдөх,
vm3,vm541,hit,맞히다,попадать,打中,онох,
vm3,vm540,depend ,달려있다(너에게+),зависеть (от тебя),依靠,хамаарах,
vm3,vm539,heap up,쌓아올리다,наваливать,堆／积(堆积的+),овоолох,
vm3,vm538,pour,붓다(注),лить,注/灌(注水的+),юүлэх,
vm3,vm537,permeate,스미다,просачиваться,渗水,шингэх,
vm3,vm536,"advance, go forward",전진하다,двигаться вперёд,前进,давших,
vm3,vm535,"glide, slip, slide",미끄러지다,скользить,滑(滑倒的+),хальтирч унах,
vm3,vm534,outrun,앞지르다,обгонять,超过,түрүүлэх,
vm3,vm533,overtake,따라붙다,догонять,赶上,гүйцэж очих,
vm3,vm532,to hand over,건네다,,交(交给的+),,
vm3,vm531,to hand over,넘겨주다,,转交,,
vm3,vm530,"hand over, pass",넘겨주다/건네다,передавать,转交/交,шилжүүлэх,
vm3,vm529,sneak into,잠입하다,пробираться (тайно),潜入,нууцаар нэвтрэх,
vm3,vm528,bring down,내려놓다,,放下,буулгаж тавих,
vm3,vm527,loosen,늦추다(緩),распускать (напр. пояс),放松,сулруулах,
vm3,vm526,spoil,망가뜨리다,портить,毁坏,эвдэх,
vm3,vm525,"keep, maintain",유지하다,сохранять,保持,үргэлжлүүлэх,
vm3,vm524,accomplish,완성하다,завершать,完成,гүйцэд хийх,
vm3,vm523,get accomplished,이루어지다,осуществляться,由~造成(由污染造成的+),бүрдэх,
vm3,vm522,contain,포함하다,содержать,包括/含,багтаах,
vm3,vm521,bathe,멱감다/씻다,купаться,洗澡,усанд орох,
vm3,vm520,obey,따르다/따라가다,следовать,跟(跟踪的+),дагах,
vm3,vm519,belong to,속하다,принадлежать,属于,харьяалагдах,
vm3,vm518,celebrate,경축하다,праздновать,庆祝,ёслон тэмдэглэх,
vm3,vm517,congratulate,축하하다,поздравлять,祝贺(祝贺你结婚的+),баяр хүргэх,
vm1,vm516,want,싶다(나는 먹고+),Я хочу есть.,想(我想吃饭的+),Би (хоол) идмээр байна.,
vm3,vm515,"force, make",시키다,заставлять,使(使想起的+),хийлгэх,
vm3,vm514,glimmer,반짝이다,сверкать,闪光,гялалзах,
vm3,vm513,glitter,빛나다,блестеть,发光,гэрэлтэх,
vm3,vm512,turn to,향하다,направляться,向/朝(向着南方的+),зүглэх,
vm3,vm511,turn round,돌다(마을을+),объезжать,转(围着村子转的+),тойрох,
vm3,vm510,appear,나타나다,появляться,出现,гарч ирэх,
vm3,vm509,"happen, occur",일어나다(사건이+),"Что произошло? 
Что случилось?",发生,гарах,
vm1,vm508,become,되다,стать (напр. учителем),成为(成为老师的+),болох,
vm3,vm507,fail,실패하다,терпеть неудачу,失败(了),бүтэлгүйтэх,
vm3,vm506,succeed,성공하다,добиваться успехов,成功(试验成功了的+),амжилт гаргах,
vm3,vm505,decide,정하다,решать,决定(我决定去中国的+),тогтох,
vm3,vm504,"undertake, be in charge",떠맡다,брать на себя,承担／接受,хариуцаж авах,
vm3,vm503,paste,바르다/도포하다,намазывать,抹(抹化妆品的+),түрхэх,
vm3,vm502,hurry,서두르다,"спешить, торопиться",着急,яарах,
vm3,vm501,present(v),주다(선물로),дарить,赠送,бэлэглэх,
vm3,vm500,line up,정렬하다,ставить в ряд,摆／排(摆整齐的+),эгнэх,
vm1,vm499,sow,뿌리다(씨를+),сеять,撒(撒种的+),үр цацах,
vm3,vm498,plant,심다,сажать,栽(栽树的+),тарих,
vm3,vm497,grind,빻다,молоть,磨(磨面的+),нунтаглах,
vm3,vm496,pound,찧다(방아를+),толочь,捣(捣蒜的+),нүдэх,
vm3,vm495,knock,두드리다(문을+),стучать (в дверь),敲(敲门的+),тогших,
vm3,vm494,tighten,조르다(끈을+),натягивать (верёвку),勒紧,чангалах,
vm3,vm493,weave,뜨다(목도리를+),вязать (шарф),编(编围脖的+),(ноосон утсаар хүзүүний ороолт) нэхэх,
vm3,vm492,disappear,사라지다,пропадать,消失,алга болох,
vm3,vm491,vanish,소멸하다,исчезать,消灭,үгүй болох,
vm3,vm490,fish,낚다,ловить рыбу,钓鱼(他每天在这儿钓鱼的+),дэгээдэх,
vm3,vm489,compare,비교하다,сравнивать,比较,харьцуулах,
vm1,vm488,pray,빌다,молиться,祈求,залбирах,
vm3,vm487,suffer,고생하다,страдать,吃苦,зүдрэх,
vm3,vm486,apologize,사과하다,извиняться,道歉,уучлал эрэх,
vm3,vm485,greet,인사하다,здороваться,行礼,мэндчилэх,
vm3,vm484,get mixed,섞이다,смешиваться,混合,холилдох,
vm3,vm483,"mix, blend",섞다,смешивать,把~混起来(把肉馅混起来的+),холих,
vm3,vm482,gather together,모이다,собираться,聚集/集合,цуглах,
vm1,vm481,"collect, gather",모으다,собирать (напр. марки),收集,цуглуулах,
vm3,vm480,"hang up, hook",걸다,вешать (напр. пальто на вешалку),挂(挂起来的+),өлгөх,
vm3,vm479,"hang up, suspend",매달다,вешать (напр. люстру на потолке),吊(吊起来的+),өлгөх,
vm1,vm478,make stand,세우다,поставить,立起来,босгох,
vm1,vm477,"set, put",놓다,положить,放/搁(放下的+),тавих,
vm3,vm476,get wet,맞다(비를+),попасть под дождь,淋(淋雨的+),бороонд норох,
vm3,vm475,blow,불다(입김을+),дуть (напр. на горячий чай),哈(哈哈气的+),үлээх,
vm3,vm474,shake(vi),흔들리다,шататься,摇动,хөдлөх,
vm3,vm473,shake(vt),흔들다,трясти,挥/摇(挥手的+),хөдөлгөх,
vm1,vm472,peel,까다(껍질을+),очищать (кожуру),剥(剥皮的+),хальслах,
vm3,vm471,"assault, assail",습격하다,совершать налёт,袭击,дайрах,
vm3,vm470,attack,공격하다,нападать,攻击(敌人攻击我们的+),довтлох,
vm3,vm469,invade,침략하다,вторгаться,侵略(敌人侵略我们的+),булаан эзлэх,
vm3,vm468,oppose,반대하다,возражать,反对(我反对他的意见的+),эсэргүүцэх,
vm3,vm467,approve,찬성하다,выступать за что-л.,赞成,зөвшөөрөх,
vm3,vm466,criticize,비판하다,критиковать,批判,шүүмжлэх,
vm3,vm465,suppress,억누르다,притеснять,摁(摁摁钉的+),барих,
vm3,vm464,suppress,진압하다,подавлять,镇压,дарах,
vm3,vm463,liberate,해방하다,освобождать,解放,чөлөөлөх,
vm3,vm462,support,지지하다,поддерживать,拥护,дэмжих,
vm3,vm461,propagate,선전하다,пропагандировать,宣传,сурталчлах,
vm3,vm460,mobilize,동원하다,мобилизовать,动员,дайчлах,
vm3,vm459,rule,지배하다,контролировать,支配,ноёлох,
vm3,vm458,"govern, reign",통치하다,править,统治,захирах,
vm3,vm457,lead,지도하다,руководить,领导(他领导我们的+),удирдах,
vm3,vm456,consult,의논하다,советоваться,商量,ярилцах,
vm3,vm455,discuss,토론하다,обсуждать,讨论(我们讨论一下的+),хэлэлцэх,
vm3,vm454,open,개회하다,открывать (заседание),开会,хурал нээх,
vm3,vm453,cooperate,협력하다,сотрудничать,合作,хамтран ажиллах,
vm3,vm452,improve,향상시키다,улучшать,提高,дээшлүүлэх,
vm1,vm451,set up (house),짓다(집을+),строить (напр. дом),盖(盖房子的+),барих,
vm3,vm450,build,건설하다,строить,建设,байгуулах,
vm3,vm449,cut down,절약하다,экономить,节约,гамнах,
vm3,vm448,produce,생산하다,производить,生产,үйлдвэрлэх,
vm1,vm447,make,만들다(물건을+),делать (напр. стол),做(做东西的+),хийх,
vm3,vm446,rot,썩다,гнить,烂(腐烂的+),ялзрах,
vm3,vm445,wither,시들다,вянуть,枯萎,гундах,
vm3,vm444,bloom,피다(꽃이+),цвести,开(开花的+),цэцэглэх,
vm3,vm443,cry (camel),울다(낙타가+),издавать звук (верблюд),叫(骆驼叫的+),буйлах,
vm2,vm442,bleat,울다(양이+),Овца блеет.,叫(羊叫的+),майлах,
vm2,vm441,neigh,울다(말이+),Лошадь ржёт.,叫(马叫的+),янцгаах,
vm2,vm440,moo,울다(소가+),Корова мычит.,叫(牛叫的+),мөөрөх,
vm2,vm439,bark (v.),짖다(개가+),Собака лает.,叫(狗叫的+),хуцах,
vm3,vm438,cry (animal),울다(동물들이+),издавать звуки (животные в общем),叫(动物叫的+),орилох,
vm1,vm437,milk a cow,짜다(우유를+),доить,挤(挤牛奶的+),саах,
vm1,vm436,castrate,거세하다,кастрировать,骟(骟马的+),агтлах,
vm2,vm435,"abort, miscarry",유산하다,случился выкидыш,流产,зулбуулах,
vm1,vm434,yoke horse,메우다(마구를+),запрягать,套(套马的+),буулгах,
vm2,vm433,ruminate,반추하다,пережёвывать (жвачное животное),反刍,хивэх,
vm2,vm432,hatch,부화하다(병아리를+),выводить (цыплят),孵(孵小鸡的+),өндөг дарах,
vm2,vm431,tremble,떨다,дрожать,发抖,чичрэх,
vm1,vm430,die,죽다,умереть,死(死去的+),үхэх,
vm1,vm429,live,살다,жить,活(活着的+),амьдрах,
vm1,vm428,be born,태어나다,родиться,出生,төрөх,
vm1,vm427,breed,낳다(새끼를+),родить (детёныша),下(下牛犊的+),зулзагалах,
vm1,vm426,bear,낳다(아이를+),родить (ребёнка),生(生孩子的+),төрүүлэх,
vm1,vm425,boil(vi),끓다(물이+),кипеть,开(水开了的+),буцлах,
vm1,vm424,boil(vt),끓이다(물을+),кипятить,烧(烧水的+),буцалгах,
vm2,vm423,drop,떨어지다(물방울이나 비 따위가+),капать,滴(滴水的+),дуслах,
vm2,vm422,leak out,새다,протекать,漏(漏水的+),гоожих,
vm2,vm421,roll,구르다,катиться,滚(滚开的+),өнхрөх,
vm2,vm420,"enough, full",충분하다(돈이+),хватать (У меня хватает денег.),够(东西够了的+),хүрэлцээтэй,
vm2,vm419,lack,모자라다,недоставать,缺(缺东西的+),дутагдах,
vm2,vm418,fall down,무너지다,обваливаться,倒塌,нурах,
vm2,vm417,destroy,파괴하다,разрушать,弄坏／毁坏,сүйтэх,
vm2,vm416,melt,녹다(溶),растворяться,融化,уусах,
vm2,vm415,thaw,녹다(얼음이+),таять,解冰,хайлах,
vm2,vm414,drift,떠돌다/표류하다,плавать по течению,漂(漂泊的+),тэнэх,
vm2,vm413,float,뜨다,плавать (держаться на воде),浮(浮出水面的+),хөвөх,
vm2,vm412,overflow,넘치다(물이+),переливаться,溢(溢出来的+),бялхах,
vm2,vm411,flow,흐르다,течь,流(流淌的+),урсах,
vm2,vm410,"go down, descend",내려오다,спускаться,下来,бууж ирэх,
vm1,vm409,come down,내리다(말에서+),сходить (с лошади),下(下马的+),буух,
vm1,vm408,climb,오르다(말에+),сесть (на лошадь),上(上马的+),унах,
vm1,vm407,climb down,하산하다,спускаться с горы,下(下山的+),уулнаас уруудах,
vm1,vm406,climb,오르다(산에+),подниматься (в гору),上(上山的+),ууланд гарах,
vm2,vm405,go over ridge,넘다(고개를+),заходить (за перевал),翻过,давах,
vm2,vm404,go across,가로지르다/건너다(길을+),переходить (улицу),横过/过(过马路的+),огтлох,
vm2,vm403,past(v),지나가다(시간이+),проходить (время),过去(春天过去了的+),ɵнгɵрɵх (хавар+),
vm2,vm402,go through,통과하다,проходить через что-л.,走过／通过,нэвтрэх,
vm2,vm401,"pass, go by",지나가다(공간을+),проходить мимо чего-л.,经过(经过家乡的+),ɵнгɵрɵх (ойг+),
vm1,vm400,know how to,~할 줄 알다,уметь,会(我会说英语的+),чадах,
vm3,vm399,can/be able to,~할 수 있다,мочь,能(我能写字的+),чадах,
vm3,vm398,get sick of,물리다(飽),приедаться,腻(吃腻了的+),дургүй хүрэх,
vm2,vm397,be tired of,싫증나다,надоедать,厌倦,залхах,
vm2,vm396,to come to mind,생각나다,вспоминать,想起来,санаанд орох,
vm1,vm395,forget,잊어버리다,забывать,忘记,мартах,
vm2,vm394,remember,기억하다,помнить,记得,санах,
vm1,vm393,believe,믿다,верить,相信,итгэх,
vm2,vm392,suspect,의심하다(-일 것이라고+),подозревать,猜/怀疑,хардах,
vm2,vm391,doubt,의심하다(-가 아닐 것이라고+),сомневаться,怀疑(我怀疑不是他的+),эргэлзэх,
vm2,vm390,be deceived,속다,быть обманутым,被骗,хууртах,
vm2,vm389,deceive,속이다,обманывать,骗(骗小孩儿的+),хуурах,
vm1,vm388,steal,훔치다,красть,偷(偷东西的+),хулгайлах,
vm3,vm387,press,압박하다,давить,压迫(肿瘤压迫神经的+),дарлах,
vm3,vm386,exploit,착취하다,эксплуатировать,剥削,мөлжих,
vm2,vm385,"deprive, rob",빼앗다,отнимать,抢(抢东西的+）,булаах,
vm1,vm384,drive,몰다(소 떼를+),гнать (напр. стадо коров),赶(赶牛群的+),туух,
vm1,vm383,wait,기다리다,ждать,等候,хүлээх,
vm2,vm382,go mad,미치다,сходить с ума,癫狂/疯狂,галзуурах,
vm1,vm381,get well,낫다(治),выздоравливать,痊愈/病好了,эдгэх,
vm2,vm380,"heal, cure",치료하다/고치다,лечить,医治/治疗,эмчлэх,
vm2,vm379,save,구하다,спасать,救(救人的+),аврах,
vm3,vm378,help each other,서로 돕다,помогать друг другу,互助,туслалцах,
vm1,vm377,help,돕다,помогать,帮助/帮忙,туслах,
vm3,vm376,marry a woman,장가가다,жениться,娶妻/娶媳妇,эхнэр авах,
vm3,vm375,marry,시집가다,выходить замуж,嫁(嫁人的+),хадамд очих,
